CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,64,0ms,0,0,16,1/1/1/19,1,0,0,FF,0/70/0,N/F/N,2092MHz,7866,0,31.0C/0.0C,3.84ms,-149.13ms,0.74ms,15.61ms,3(DR8,0.49,0.07(W0.15),1.00,16.82/27.44,25.62,1,1.21,0,0,-2208927596.993,True,False,80,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
3,4,1382,525,71,0ms,0,0,6,2/0/0/4,1,0,0,FF,0/70/0,N/F/N,2092MHz,7866,0,31.0C/0.0C,2.80ms,0.47ms,0.20ms,13.55ms,2(DR0,0.29,0.04(W0.05),1.00,17.96/27.26,26.14,1,1.21,0,0,-2208927596.0,True,False,80,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
3,4,1382,525,72,0ms,0,0,4,1/0/0/4,1,0,0,FF,0/70/0,N/F/N,1555MHz,7866,0,30.7C/0.0C,1.45ms,0.78ms,0.00ms,13.08ms,1(DR68,0.18,0.05(W0.10),1.00,17.88/26.94,26.27,1,1.21,0,0,-2208927595.0,True,False,80,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7866,0,30.7C/0.0C,1.63ms,0.77ms,0.00ms,13.09ms,1(DR72,0.19,0.07(W0.14),1.00,19.63/24.13,23.09,1,1.21,0,0,-2208927594.0,True,False,80,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7866,0,30.7C/0.0C,1.68ms,0.83ms,0.00ms,13.11ms,1(DR72,0.20,0.02(W0.06),1.00,18.83/23.41,21.67,1,1.21,0,0,-2208927593.0,True,False,80,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7866,0,30.7C/0.0C,1.82ms,0.84ms,0.00ms,13.13ms,1(DR72,0.21,0.08(W0.14),1.00,18.16/22.02,20.97,1,1.21,0,0,-2208927592.0,True,False,80,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7866,0,30.7C/0.0C,1.73ms,0.80ms,0.00ms,13.12ms,1(DR72,0.21,0.16(W0.19),1.00,17.92/21.71,20.55,1,1.21,0,0,-2208927591.0,True,False,80,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
3,4,1382,525,72,0ms,0,0,9,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,7866,0,30.7C/0.0C,1.68ms,0.80ms,0.00ms,13.12ms,1(DR72,0.20,0.07(W0.10),1.00,17.68/21.64,20.37,1,1.21,0,0,-2208927590.0,True,False,80,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
3,4,1382,525,70,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7866,0,30.7C/0.0C,1.61ms,0.73ms,0.00ms,14.24ms,1(DR73,0.19,0.11(W0.14),1.00,17.58/21.88,20.32,1,1.21,0,0,-2208927588.999,True,False,80,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
3,4,1382,525,72,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,7866,0,30.7C/0.0C,1.99ms,1.19ms,0.23ms,13.86ms,2(DR69,0.26,0.23(W0.31),1.00,17.48/24.47,21.09,1,1.21,0,0,-2208927587.999,True,False,80,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7866,0,30.7C/0.0C,3.50ms,0.75ms,0.24ms,13.80ms,2(DR0,0.35,0.09(W0.18),1.00,19.97/25.00,23.48,1,1.21,0,0,-2208927586.999,True,False,80,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
3,4,1382,525,72,0ms,0,0,10,0/0/1/10,1,0,0,FF,0/70/0,N/F/N,1555MHz,7866,0,30.7C/0.0C,3.53ms,1.45ms,0.24ms,13.87ms,2(DR0,0.34,0.11(W0.14),1.00,19.53/23.53,22.20,1,1.21,0,0,-2208927585.999,True,False,80,0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
