CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,experiment,device,repetition
3,4,1382,525,35,0ms,0,26,49,13/0/1/12,1,0,0,FF,0/70/0,N/F/N,1804MHz,7897,0,30.2C/0.0C,4.34ms,15.36ms,0.25ms,40.62ms,3(DR0,0.47,0.10(W0.22),1.00,19.38/23.92,22.57,1,1.21,0,0,16:44:53.080,clumsy-bandwidth-30Mbps,Quest-Pro,replay
3,4,1382,525,18,0ms,0,33,52,17/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,7904,0,30.2C/0.0C,4.30ms,0.49ms,0.26ms,40.60ms,3(DR0,0.47,0.05(W0.10),1.00,19.77/24.36,22.66,1,1.21,0,0,16:44:54.089,clumsy-bandwidth-30Mbps,Quest-Pro,replay
3,4,1382,525,29,0ms,0,31,51,15/0/0/3,1,0,0,FF,0/70/0,N/F/N,1804MHz,7904,0,30.2C/0.0C,4.32ms,13.06ms,0.26ms,40.77ms,3(DR0,0.46,0.12(W0.18),1.00,19.48/23.65,22.37,1,1.21,0,0,16:44:55.080,clumsy-bandwidth-30Mbps,Quest-Pro,replay
3,4,1382,525,18,0ms,0,30,56,14/0/1/17,1,0,0,FF,0/70/0,N/F/N,1555MHz,7904,0,30.2C/0.0C,4.50ms,5.58ms,0.26ms,45.85ms,3(DR0,0.46,0.07(W0.10),1.00,19.25/23.24,22.14,1,1.21,0,0,16:44:56.080,clumsy-bandwidth-30Mbps,Quest-Pro,replay
3,4,1382,525,20,0ms,0,36,54,18/0/0/3,1,0,0,FF,0/70/0,N/F/N,1804MHz,7904,0,30.2C/0.0C,4.35ms,8.41ms,0.26ms,44.67ms,3(DR0,0.46,0.05(W0.10),1.00,19.05/22.67,21.84,1,1.21,0,0,16:44:57.080,clumsy-bandwidth-30Mbps,Quest-Pro,replay
3,4,1382,525,19,0ms,0,35,53,19/0/0/3,1,0,0,FF,0/70/0,N/N/N,1804MHz,7904,0,30.2C/0.0C,4.38ms,7.09ms,0.25ms,54.32ms,3(DR0,0.46,0.05(W0.10),1.00,18.73/22.67,21.59,1,1.21,0,0,16:44:58.080,clumsy-bandwidth-30Mbps,Quest-Pro,replay
3,4,1382,525,35,0ms,0,31,50,15/0/0/3,1,0,0,FF,0/70/0,N/F/N,1804MHz,7904,0,30.2C/0.0C,4.23ms,15.03ms,0.26ms,39.11ms,3(DR0,0.47,0.19(W0.23),1.00,18.85/22.91,21.77,1,1.21,0,0,16:44:59.080,clumsy-bandwidth-30Mbps,Quest-Pro,replay
3,4,1382,525,19,0ms,0,24,52,13/0/1/20,1,0,0,FF,0/70/0,N/F/N,2092MHz,7904,0,30.2C/0.0C,4.28ms,15.20ms,0.26ms,40.29ms,3(DR0,0.46,0.07(W0.10),1.00,18.97/24.13,22.36,1,1.21,0,0,16:45:00.080,clumsy-bandwidth-30Mbps,Quest-Pro,replay
3,4,1382,525,33,0ms,0,37,53,18/0/0/3,1,0,0,FF,0/70/0,N/F/N,2092MHz,7904,0,30.2C/0.0C,4.34ms,4.96ms,0.26ms,39.07ms,3(DR0,0.47,0.16(W0.18),1.00,19.06/24.28,22.48,1,1.21,0,0,16:45:01.080,clumsy-bandwidth-30Mbps,Quest-Pro,replay
3,4,1382,525,18,0ms,0,19,51,10/0/1/20,1,0,0,FF,0/70/0,N/F/N,2092MHz,7904,0,30.2C/0.0C,4.31ms,14.82ms,0.25ms,42.77ms,3(DR0,0.46,0.13(W0.22),1.00,18.90/24.12,22.52,1,1.21,0,0,16:45:02.081,clumsy-bandwidth-30Mbps,Quest-Pro,replay
