interface,received-bytes,received-packets,received-errs,received-drop,received-fifo,received-frame,received-compressed,received-multicast,sent-bytes,sent-packets,sent-errs,sent-drop,sent-fifo,sent-colls,sent-carrier,sent-compressed,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
wlan0,1653217776,1235308,0,0,0,0,0,904,107331661,287923,0,83,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
p2p-wlan0-0,1722096,30885,0,0,0,0,0,26,94916777,63155,0,22,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
wlan0,1663228507,1244666,0,0,0,0,0,917,110677155,294223,0,83,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
p2p-wlan0-0,1723084,30904,0,0,0,0,0,26,94974404,63194,0,22,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
wlan0,1669326577,1250313,0,0,0,0,0,940,112699106,298188,0,84,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
p2p-wlan0-0,1829156,32939,0,0,0,0,0,26,101101546,67245,0,24,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
wlan0,1685568914,1265024,0,0,0,0,0,959,118008913,308333,0,86,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
p2p-wlan0-0,1829212,32941,0,0,0,0,0,26,101101630,67247,0,24,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
wlan0,1695102946,1274040,0,0,0,0,0,980,121410960,314856,0,87,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
p2p-wlan0-0,1829212,32941,0,0,0,0,0,26,101101630,67247,0,24,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
wlan0,1700293684,1282661,0,0,0,0,0,995,124994982,321530,0,87,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
p2p-wlan0-0,1829212,32941,0,0,0,0,0,26,101101630,67247,0,24,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
wlan0,1705319366,1288233,0,0,0,0,0,1004,127016717,325184,0,87,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
p2p-wlan0-0,1829212,32941,0,0,0,0,0,26,101101630,67247,0,24,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
wlan0,1715712946,1298241,0,0,0,0,0,1010,130594292,332090,0,93,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
p2p-wlan0-0,1829212,32941,0,0,0,0,0,26,101101630,67247,0,24,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
wlan0,1724963642,1306929,0,0,0,0,0,1046,133913041,337675,0,93,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
p2p-wlan0-0,1829212,32941,0,0,0,0,0,26,101101630,67247,0,24,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
wlan0,1729984902,1311839,0,0,0,0,0,1046,135709426,341280,0,95,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
p2p-wlan0-0,1829212,32941,0,0,0,0,0,26,101101630,67247,0,24,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
wlan0,1734423143,1316763,0,0,0,0,0,1066,137552405,344454,0,95,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
p2p-wlan0-0,1829212,32941,0,0,0,0,0,26,101101630,67247,0,24,0,0,0,0,False,True,10000,0.025,Quest-Pro,BeatSaber,PopStars-Medium,False,False,1.0
