interface,received-bytes,received-packets,received-errs,received-drop,received-fifo,received-frame,received-compressed,received-multicast,sent-bytes,sent-packets,sent-errs,sent-drop,sent-fifo,sent-colls,sent-carrier,sent-compressed,device,app,app_details,is_record,is_wireless,repetition
wlan0,66274865648,50824433,0,0,0,0,0,12520,4287531587,12735330,0,4521,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,26228084,463317,0,0,0,0,0,31,1401992865,933354,0,325,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,66285377386,50833694,0,0,0,0,0,12553,4293152653,12741867,0,4521,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,26228212,463319,0,0,0,0,0,31,1401993113,933356,0,325,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,66292211236,50839926,0,0,0,0,0,12553,4297434471,12746599,0,4524,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,26269405,463359,0,0,0,0,0,31,1401999048,933381,0,325,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,66298902967,50846472,0,0,0,0,0,12584,4302278710,12752028,0,4524,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,26269405,463359,0,0,0,0,0,31,1401999048,933381,0,325,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,66305759967,50852623,0,0,0,0,0,12600,4306391599,12756700,0,4524,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,26269405,463359,0,0,0,0,0,31,1401999048,933381,0,325,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,66317736519,50867651,0,0,0,0,0,12667,4313603234,12767531,0,4525,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,26269405,463359,0,0,0,0,0,31,1401999048,933381,0,325,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,66322360347,50875501,0,0,0,0,0,12711,4318427540,12773826,0,4525,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,26269405,463359,0,0,0,0,0,31,1401999048,933381,0,325,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,66326853253,50882478,0,0,0,0,0,12731,4322633438,12779426,0,4527,0,0,0,0,clumsy-dropchance-0.05,Quest-Pro,BeatSaber,False,False,PopStars-Medium
